id,candidate,votes,state,county/township
115,trump,3195,AR,Saint Francis
86,clinton,13247,AR,Saline
86,trump,35852,AR,Saline
151,clinton,507,AR,Scott
151,trump,2378,AR,Scott
145,clinton,601,AR,Searcy
145,trump,2955,AR,Searcy
88,clinton,12184,AR,Sebastian
88,trump,28769,AR,Sebastian
138,clinton,1075,AR,Sevier
138,trump,3281,AR,Sevier
116,clinton,1472,AR,Sharp
116,trump,5405,AR,Sharp
131,clinton,1189,AR,Stone
131,trump,4081,AR,Stone
97,clinton,5667,AR,Union
97,trump,10201,AR,Union
117,clinton,1547,AR,Van Buren
117,trump,5382,AR,Van Buren
85,clinton,32296,AR,Washington
85,trump,40418,AR,Washington
91,clinton,5157,AR,White
91,trump,21038,AR,White
156,clinton,1117,AR,Woodruff
156,trump,1344,AR,Woodruff
126,clinton,1472,AR,Yell
126,trump,4600,AR,Yell
78,clinton,12196,AZ,Apache
78,trump,5315,AZ,Apache
74,clinton,15291,AZ,Cochise
74,trump,25036,AZ,Cochise
73,clinton,25308,AZ,Coconino
73,trump,16573,AZ,Coconino
77,clinton,6295,AZ,Gila
77,trump,12342,AZ,Gila
79,clinton,3274,AZ,Graham
79,trump,7899,AZ,Graham
82,clinton,1092,AZ,Greenlee
82,trump,1892,AZ,Greenlee
81,clinton,1318,AZ,La Paz
81,trump,3381,AZ,La Paz
68,clinton,524360,AZ,Maricopa
68,trump,566019,AZ,Maricopa
72,clinton,15536,AZ,Mohave
72,trump,51312,AZ,Mohave
76,clinton,15362,AZ,Navajo
76,trump,18165,AZ,Navajo
69,clinton,183199,AZ,Pima
69,trump,138819,AZ,Pima
71,clinton,29546,AZ,Pinal
71,trump,44432,AZ,Pinal
80,clinton,7769,AZ,Santa Cruz
80,trump,2556,AZ,Santa Cruz
70,clinton,29492,AZ,Yavapai
70,trump,58573,AZ,Yavapai
75,clinton,18336,AZ,Yuma
75,trump,20586,AZ,Yuma
164,clinton,300185,CA,Alameda
164,trump,59384,CA,Alameda
215,clinton,318,CA,Alpine
215,trump,211,CA,Alpine
203,clinton,3420,CA,Amador
203,trump,6069,CA,Amador
181,clinton,31638,CA,Butte
181,trump,35354,CA,Butte
195,clinton,6740,CA,Calaveras
195,trump,11064,CA,Calaveras
211,clinton,1832,CA,Colusa
211,trump,2709,CA,Colusa
166,clinton,201936,CA,Contra Costa
166,trump,76743,CA,Contra Costa
206,clinton,2997,CA,Del Norte
206,trump,4370,CA,Del Norte
183,clinton,28026,CA,El Dorado
183,trump,37286,CA,El Dorado
170,clinton,82863,CA,Fresno
170,trump,79858,CA,Fresno
209,clinton,1766,CA,Glenn
209,trump,3405,CA,Glenn
189,clinton,19596,CA,Humboldt
189,trump,10883,CA,Humboldt
193,clinton,14331,CA,Imperial
193,trump,5607,CA,Imperial
208,clinton,2499,CA,Inyo
208,trump,3328,CA,Inyo
171,clinton,64980,CA,Kern
171,trump,95064,CA,Kern
192,clinton,9077,CA,Kings
192,trump,13158,CA,Kings
200,clinton,6240,CA,Lake
200,trump,5752,CA,Lake
205,clinton,1881,CA,Lassen
205,trump,6155,CA,Lassen
158,clinton,1601382,CA,Los Angeles
158,trump,525308,CA,Los Angeles
188,clinton,13283,CA,Madera
188,trump,19221,CA,Madera
179,clinton,64333,CA,Marin
179,trump,13127,CA,Marin
207,clinton,2568,CA,Mariposa
207,trump,4317,CA,Mariposa
202,clinton,6905,CA,Mendocino
202,trump,3571,CA,Mendocino
187,clinton,21856,CA,Merced
187,trump,18486,CA,Merced
213,clinton,798,CA,Modoc
213,trump,2413,CA,Modoc
210,clinton,2551,CA,Mono
210,trump,1989,CA,Mono
182,clinton,47387,CA,Monterey
182,trump,19580,CA,Monterey
191,clinton,20454,CA,Napa
191,trump,9335,CA,Napa
190,clinton,16199,CA,Nevada
190,trump,14686,CA,Nevada
159,clinton,396712,CA,Orange
159,trump,357174,CA,Orange
177,clinton,43915,CA,Placer
177,trump,55212,CA,Placer
204,clinton,3224,CA,Plumas
204,trump,5079,CA,Plumas
161,clinton,228731,CA,Riverside
161,trump,219359,CA,Riverside
165,clinton,186237,CA,Sacramento
165,trump,114359,CA,Sacramento
201,clinton,6751,CA,San Benito
201,trump,4358,CA,San Benito
162,clinton,220853,CA,San Bernardino
162,trump,188080,CA,San Bernardino
160,clinton,390531,CA,San Diego
160,trump,269422,CA,San Diego
167,clinton,228211,CA,San Francisco
167,trump,26461,CA,San Francisco
173,clinton,71349,CA,San Joaquin
173,trump,56194,CA,San Joaquin
178,clinton,46965,CA,San Luis Obispo
178,trump,39263,CA,San Luis Obispo
169,clinton,152134,CA,San Mateo
169,trump,37996,CA,San Mateo
175,clinton,72605,CA,Santa Barbara
175,trump,38973,CA,Santa Barbara
163,clinton,312994,CA,Santa Clara
163,trump,91990,CA,Santa Clara
180,clinton,60529,CA,Santa Cruz
180,trump,14523,CA,Santa Cruz
185,clinton,15533,CA,Shasta
185,trump,35256,CA,Shasta
214,clinton,596,CA,Sierra
214,trump,1044,CA,Sierra
199,clinton,5252,CA,Siskiyou
199,trump,8392,CA,Siskiyou
174,clinton,79015,CA,Solano
174,trump,41481,CA,Solano
172,clinton,116027,CA,Sonoma
172,trump,37421,CA,Sonoma
176,clinton,51171,CA,Stanislaus
176,trump,52567,CA,Stanislaus
194,clinton,7599,CA,Sutter
194,trump,10947,CA,Sutter
197,clinton,4764,CA,Tehama
197,trump,10528,CA,Tehama
212,clinton,1876,CA,Trinity
212,trump,2409,CA,Trinity
184,clinton,23663,CA,Tulare
184,trump,33372,CA,Tulare
196,clinton,7075,CA,Tuolumne
196,trump,10614,CA,Tuolumne
168,clinton,136848,CA,Ventura
168,trump,97516,CA,Ventura
186,clinton,34460,CA,Yolo
186,trump,13178,CA,Yolo
198,clinton,5115,CA,Yuba
198,trump,8869,CA,Yuba
223,clinton,86471,CO,Adams
223,trump,73807,CO,Adams
247,clinton,3168,CO,Alamosa
247,trump,3031,CO,Alamosa
218,clinton,148365,CO,Arapahoe
218,trump,109638,CO,Arapahoe
246,clinton,2489,CO,Archuleta
246,trump,4234,CO,Archuleta
268,clinton,278,CO,Baca
268,trump,1716,CO,Baca
269,clinton,581,CO,Bent
269,trump,1166,CO,Bent
222,clinton,124715,CO,Boulder
222,trump,38766,CO,Boulder
227,clinton,19530,CO,Broomfield
227,trump,14272,CO,Broomfield
240,clinton,4773,CO,Chaffee
240,trump,5283,CO,Chaffee
274,clinton,127,CO,Cheyenne
274,trump,905,CO,Cheyenne
250,clinton,2585,CO,Clear Creek
250,trump,2426,CO,Clear Creek
256,clinton,1753,CO,Conejos
256,trump,1885,CO,Conejos
270,clinton,1109,CO,Costilla
